"CODE" "OURCODE" "CS" "PS" "LC"
"1" "MKSC-00-4" "M00LG0001" "objects in the environment have properties or attributes (e.g., color, size, shapes, and functions)  and that objects can be manipulated based on these properties and attributes" "manipulate objects based on properties or attributes" "Describe objects based on attributes/properties (shapes, size, its use and functions)"
"2" "MKSC-00-5" "M00LG0002" NA NA "Group objects that are alike"
"3" "MKAT-00-1" "M00LG0003" NA NA "Match object, pictures based on properties /attributes in one-to-one correspondence-     object to object-     object to picture-     picture to picture"
"4" "MKSC-00-6" "M00LG0004" NA NA "Sort and classify objects according to one attribute/property (shape,color, size, function/use)"
"5" "MKSC-00-9" "M00LG0005" NA NA "Identify sequence of events (before, after, first, next, last)"
"6" "MKSC-00-10" "M00LG0006" NA NA "Arrange objects one after another in a series/sequence according to a given attribute (size, length) and describe their relationship(big/bigger/biggest or long/longer/longest)"
"7" "MKSC-00-19" "M00LG0007" NA NA "Complete patterns"
"8" "MKSC-00-20" "M00LG0008" NA NA "Reproduce and extend patterns"
"9" "MKSC-00-21" "M00LG0009" NA NA "Create own patterns"
"10" "MKSC-00-22" "M00LG0010" NA NA "Transform/translate patterns from one form to another"
"11" "MKSC-00-23" "M00LG0011" NA NA "Tell that the quantity of a set of objects does not change even though the arrangement has changed (i.e"
"12" "MKSC-00-24" "M00LG0012" NA NA "Tell that the volume of liquid doesnot change even if the size and shape of container do"
"13" "MKSC-00-25" "M00LG0013" NA NA "Tell that length of an object does not change even if it is moved"
"14" "MKSC-00-12" "M00NS0014" "the sense of quantity and numeral relations, that addition results in increase and subtraction results in decrease" "perform simple addition and subtraction of up to 10 objects or pictures/drawings" "Rote count up to 20"
"15" "MKC-00-7" "M00NS0015" NA NA "Count objects with one-to-onecorrespondence up to quantities of 10"
"16" "MKC-00-8" "M00NS0016" NA NA "Compare two groups of objects to decide which is more or less, or if they are equal<U+F0B7>Identify sets with one more or one less element"
"17" "MKC-00-2" "M00NS0017" NA NA "Recognize and identify numerals 0 to 10"
"18" "MKC-00-3" "M00NS0018" NA NA "Read and write numerals 0 to 10"
"19" "MKC-00-4" "M00NS0019" NA NA "Match numerals to a set of concrete objects from 0 to 10"
"20" "MKC-00-5" "M00NS0020" NA NA "Identify the number that comes before, after, or in between"
"21" "MKC-00-6" "M00NS0021" NA NA "Arrange three numbers from least togreatest/ greatest to least"
"22" "MKC-00-11" "M00NS0022" NA NA "Identify the 1st, 2nd, 3rd, up to 10th object in a given set"
